name,province_id,city,level,type,is_985,is_211,is_double_first_class,website,intro
南京大学,1,南京,A,综合,1,1,1,https://www.nju.edu.cn,C9联盟，首批985/211/双一流A类
东南大学,1,南京,A,理工,1,1,1,https://www.seu.edu.cn,建筑老八校，工科强势，985/211/双一流A类
中国人民大学(苏州),1,苏州,A,综合,1,1,1,,人大苏州校区，中外合作办学，经管法语
南京大学医学院,1,南京,A,医药,1,1,1,,临床医学八年制，985平台
东南大学医学院,1,南京,A,医药,1,1,1,,临床医学5+3一体化，985平台
南京航空航天大学,1,南京,B,理工,0,1,1,https://www.nuaa.edu.cn,工信部直属，航空航天特色，211/双一流
南京理工大学,1,南京,B,理工,0,1,1,https://www.njust.edu.cn,工信部直属，兵器科学全国第一，211/双一流
苏州大学,1,苏州,B,综合,0,1,1,https://www.suda.edu.cn,省属重点，医学和材料科学突出，211/双一流
河海大学,1,南京,B,理工,0,1,1,https://www.hhu.edu.cn,教育部直属，水利工程全国顶尖，211/双一流
南京师范大学,1,南京,B,师范,0,1,1,https://www.njnu.edu.cn,省属重点，师范类强校，211/双一流
江南大学,1,无锡,B,综合,0,1,1,https://www.jiangnan.edu.cn,教育部直属，食品科学全国第一，211/双一流
南京农业大学,1,南京,B,农林,0,1,1,https://www.njau.edu.cn,教育部直属，农学门类齐全，211/双一流
中国药科大学,1,南京,B,医药,0,1,1,https://www.cpu.edu.cn,教育部直属，药学全国第一，211/双一流
中国矿业大学,1,徐州,B,理工,0,1,1,https://www.cumt.edu.cn,教育部直属，矿业工程顶尖，211/双一流
南京医科大学,1,南京,B,医药,0,0,1,,公共卫生与预防医学双一流，临床强势
南京邮电大学,1,南京,C,理工,0,0,1,https://www.njupt.edu.cn,电子信息特色，通信工程强势，双一流学科
南京信息工程大学,1,南京,C,理工,0,0,1,https://www.nuist.edu.cn,大气科学全国第一，双一流学科
南京林业大学,1,南京,C,农林,0,0,1,https://www.njfu.edu.cn,林业工程特色，双一流学科
南京中医药大学,1,南京,C,医药,0,0,1,https://www.njucm.edu.cn,中医药特色鲜明，双一流学科
江苏大学,1,镇江,C,综合,0,0,0,,省属重点，工科和医学较强
扬州大学,1,扬州,C,综合,0,0,0,,省属重点，农学和兽医学突出
南京工业大学,1,南京,C,理工,0,0,0,,化工和材料学科优势
南京财经大学,1,南京,C,财经,0,0,0,,财经类省属重点
南京审计大学,1,南京,C,财经,0,0,0,,审计学全国知名
江苏科技大学,1,镇江,C,理工,0,0,0,,船舶工程特色
南通大学,1,南通,C,综合,0,0,0,,医学和纺织学科较强
徐州医科大学,1,徐州,C,医药,0,0,0,,麻醉学全国知名
常州大学,1,常州,D,理工,0,0,0,,石油化工特色
苏州科技大学,1,苏州,D,理工,0,0,0,,城建环保特色
南京工程学院,1,南京,D,理工,0,0,0,,电力工程特色
江苏师范大学,1,徐州,D,师范,0,0,0,,省属重点师范
南京晓庄学院,1,南京,D,师范,0,0,0,,小学教育/学前教育特色，师范类公办本科
江苏第二师范学院,1,南京,D,师范,0,0,0,,省属师范，教师培养基地
常熟理工学院,1,苏州,D,理工,0,0,0,,自动化/材料方向，应用型本科
淮阴师范学院,1,淮安,D,师范,0,0,0,,省属师范，苏北教师培养基地
盐城师范学院,1,盐城,D,师范,0,0,0,,省属师范，基础教育师资
江苏理工学院,1,常州,D,理工,0,0,0,,职业教育师资培养，应用型
徐州工程学院,1,徐州,D,理工,0,0,0,,工程应用型本科
常州工学院,1,常州,D,理工,0,0,0,,机械/电气工程方向
南京特殊教育师范学院,1,南京,D,师范,0,0,0,,全国唯一特教师范本科
盐城工学院,1,盐城,E,理工,0,0,0,,建材和机械特色
淮阴工学院,1,淮安,E,理工,0,0,0,,交通和化工特色
无锡学院,1,无锡,E,理工,0,0,0,,公办本科，物联网/智能制造方向
泰州学院,1,泰州,E,综合,0,0,0,,市属公办本科，应用型
宿迁学院,1,宿迁,E,综合,0,0,0,,省属公办本科，多学科发展
金陵科技学院,1,南京,E,理工,0,0,0,,公办应用型本科，软件/经管方向
江苏海洋大学,1,连云港,E,理工,0,0,0,,公办本科，海洋科学/水产特色
苏州城市学院,1,苏州,E,综合,0,0,0,,公办本科（原苏大文正学院转设）
南京工业职业技术大学,1,南京,E,理工,0,0,0,,职业本科，机械/电子方向
三江学院,1,南京,E,综合,0,0,0,,江苏最早民办本科，应用型
南京航空航天大学金城学院,1,南京,E,理工,0,0,0,,独立学院（拟转设），工科应用型
东南大学成贤学院,1,南京,E,理工,0,0,0,,独立学院（拟转设），应用型
南京理工大学紫金学院,1,南京,E,理工,0,0,0,,独立学院（拟转设），工科
扬州大学广陵学院,1,扬州,E,综合,0,0,0,,独立学院（拟转设），综合
江苏大学京江学院,1,镇江,E,理工,0,0,0,,独立学院，工科应用型
